Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Scott Hatteberg*,31,94,316,278,34,68,19,0,3,25,1,1,33,26,0.245,0.332,0.345,0.678,79,96,7,4,0,1,0
2,1B,Brian Daubach*,29,122,472,407,54,107,28,3,22,71,1,0,53,108,0.263,0.35,0.509,0.859,122,207,10,5,1,6,7
3,2B,Jose Offerman#,32,128,594,524,76,140,23,3,9,49,5,2,61,97,0.267,0.342,0.374,0.716,89,196,9,1,3,5,2
4,SS,Mike Lansing,33,106,382,352,45,88,23,0,8,34,3,3,22,50,0.25,0.294,0.384,0.677,77,135,7,1,4,3,1
5,3B,Shea Hillenbrand,25,139,493,468,52,123,20,2,12,49,3,4,13,61,0.263,0.291,0.391,0.682,77,183,12,7,1,4,3
6,LF,Troy O'Leary*,31,104,376,341,50,82,16,6,13,50,1,3,25,73,0.24,0.298,0.437,0.735,90,149,9,5,0,5,2
7,CF,Carl Everett#,30,102,449,409,61,105,24,4,14,58,9,2,27,104,0.257,0.323,0.438,0.761,98,179,3,13,0,0,3
8,RF,Trot Nixon*,27,148,633,535,100,150,31,4,27,88,7,4,79,113,0.28,0.376,0.505,0.881,129,270,8,7,6,6,1
9,DH,Manny Ramirez,29,142,620,529,93,162,33,2,41,125,0,1,81,147,0.306,0.405,0.609,1.014,162,322,9,8,0,2,25
10,DH,Dante Bichette,37,107,415,391,45,112,30,1,12,49,2,2,20,76,0.286,0.325,0.46,0.786,104,180,13,3,0,1,1
11,IF,Chris Stynes,28,96,386,361,52,101,19,2,8,33,4,5,20,56,0.28,0.322,0.41,0.732,91,148,12,3,1,1,0
12,C,Jason Varitek#,29,51,198,174,19,51,11,1,7,25,0,0,21,35,0.293,0.371,0.489,0.859,124,85,6,1,1,1,3
13,OF,Darren Lewis,33,82,180,164,18,46,9,1,1,12,5,5,8,25,0.28,0.326,0.366,0.692,82,60,2,3,5,0,0
14,C,Doug Mirabelli,30,54,165,141,16,38,8,0,9,26,0,0,17,36,0.27,0.36,0.518,0.877,127,73,2,4,1,2,2
15,SS,Lou Merloni,30,52,159,146,21,39,10,0,3,13,2,1,6,31,0.267,0.306,0.397,0.703,83,58,6,3,2,2,0
16,SS,Nomar Garciaparra,27,21,91,83,13,24,3,0,4,8,0,1,7,9,0.289,0.352,0.47,0.822,114,39,1,1,0,0,0
17,SS,John Valentin,34,20,70,60,8,12,2,0,1,5,0,0,9,8,0.2,0.314,0.283,0.598,59,17,4,1,0,0,0
18,1B,Calvin Pickering*,24,17,58,50,4,14,1,0,3,7,0,0,8,13,0.28,0.379,0.48,0.859,124,24,4,0,0,0,0
19,SS,Craig Grebeck,36,23,43,41,1,2,1,0,0,2,0,0,2,9,0.049,0.093,0.073,0.166,-55,3,0,0,0,0,0
20,UT,Israel Alcantara,28,14,41,38,3,10,1,0,0,3,1,0,3,13,0.263,0.317,0.289,0.607,62,11,3,0,0,0,0
21,DH,Morgan Burkhart#,29,11,34,33,3,6,1,0,1,4,0,0,1,11,0.182,0.206,0.303,0.509,32,10,1,0,0,0,0
22,SS,James Lofton#,27,8,28,26,1,5,1,0,0,1,2,1,1,4,0.192,0.214,0.231,0.445,17,6,1,0,0,1,0
23,2B,Angel Santos#,21,9,19,16,2,2,1,0,0,1,0,0,2,7,0.125,0.211,0.188,0.398,6,3,2,0,0,1,0
24,C,Joe Oliver,35,5,13,12,1,3,1,0,0,1,0,0,1,3,0.25,0.308,0.333,0.641,69,4,0,0,0,0,0
25,C,Marcus Jensen#,28,1,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,33,1,0,0,0,0,0
26,P,Hideo Nomo,32,2,5,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,6,1,0,0,0,0,0
27,P,Tim Wakefield,34,2,4,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,77,1,0,0,1,0,0
28,P,Rolando Arrojo,35,3,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
29,P,Frank Castillo,32,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0
30,P,Tomo Ohka#,25,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
31,P,David Cone*,38,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0
32,P,Rich Garces,30,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,1,0,0,0,0
33,P,Rod Beck,32,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
34,P,Derek Lowe,28,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
35,P,Allen McDill*,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Paxton Crawford,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Todd Erdos,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Carlos Castillo,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Bret Saberhagen,37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Pedro Martinez,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Casey Fossum*,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
